node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,delta_log10_holes_decade,delta_psi_V,delta_phip_V,delta_phip_minus_psi_V,predicted_delta_log10_holes_decade,density_relation_residual_decade,minus_100mV_plateau
131,0.75,0.625,1518.5504772815916,1518.9666692884323,0.0001190116034856971,0.0007713280906109787,0.0007788226807274867,7.494590116507993e-06,0.00012590357259069577,-6.891969104998668e-06,0
132,0.65625,0.6875,371.08092504802124,1076.9779113765273,0.4627381655309853,0.0003823244439353779,0.027927879039008285,0.027545554595072907,0.46274495050406356,-6.784973078266532e-06,0
133,0.65625,0.75,60.27479866243545,61.50502494031481,0.008774830575159093,0.00042160981351946347,0.0009443398164079575,0.000522730002888494,0.00878147755125948,-6.646976100387059e-06,0
134,0.75,0.6875,1212.4223096283274,1216.9563077926537,0.0016210669311268993,0.0008732856645874421,0.0009701912273749613,9.690556278751927e-05,0.0016279418045806943,-6.874873453794998e-06,0
135,0.75,0.75,885.3384787672848,913.064485797201,0.013392110931171413,0.0008092244745721011,0.0016068168356451196,0.0007975923610730185,0.013398961940420362,-6.851009248949255e-06,0
136,0.46875,0.8125,11.84936973056689,0.24827156027662528,-1.67876827719082,4.838057374634275e-05,-0.09988231232083322,-0.09993069289457956,-1.678761753651909,-6.523538910840898e-06,1
137,0.46875,0.875,17.403185925490977,0.36463179354342046,-1.6787742263100227,3.7647212983493716e-05,-0.09989339804149111,-0.0999310452544746,-1.678767673037617,-6.553272405618316e-06,1
138,0.5625,0.8125,8.071914709818026,0.1690447999871094,-1.678974748463756,0.0001703730637001577,-0.09977261206365418,-0.09994298512735433,-1.6789682540738669,-6.494389889200036e-06,1
139,0.5625,0.875,10.891918988278634,0.22821455612733565,-1.67876106107706,0.00013595109933239868,-0.09979431259402549,-0.09993026369335789,-1.6787545433887285,-6.517688331486582e-06,1
140,0.46875,0.9375,25.15322649943301,0.5269481206055794,-1.6788258416486745,2.4927699982857376e-05,-0.09990918815790106,-0.09993411585788392,-1.678819256904544,-6.5847441306221555e-06,1
