id,mesh,branch,bias_V,contact,component,reference_delta_dex,candidate_delta_dex,error_dex,pass
P1,M0,reverse,-0.2,Anode,total,0.0685505839602942,0.06854071230696537,9.87165332883011e-06,True
P1,M0,reverse,-0.2,Anode,electron,0.2898045371010308,0.2898045374663633,3.653324864849594e-10,True
P1,M0,reverse,-0.2,Anode,hole,0.015402962420856073,0.015400198416328453,2.764004527620184e-06,True
P1,M0,reverse,-0.2,Cathode,total,0.06855058396029667,0.06854071231117753,9.871649119141956e-06,True
P1,M0,reverse,-0.2,Cathode,electron,0.060674039021341185,0.060664612826829,9.426194512184016e-06,True
P1,M0,reverse,-0.2,Cathode,hole,0.1686434281286462,0.16864342907812288,9.494766917139685e-10,True
P1,M0,reverse,-0.3,Anode,total,0.055147751780255605,0.05513996065227722,7.791127978384882e-06,True
P1,M0,reverse,-0.3,Anode,electron,0.28980452340360935,0.28980452361966347,2.1605411903991012e-10,True
P1,M0,reverse,-0.3,Anode,hole,0.011821324504846013,0.011819337643749194,1.986861096819545e-06,True
P1,M0,reverse,-0.3,Cathode,total,0.05514775178025773,0.055139960655760045,7.791124497683044e-06,True
P1,M0,reverse,-0.3,Cathode,electron,0.048069546807222745,0.048062330811511726,7.215995711018497e-06,True
P1,M0,reverse,-0.3,Cathode,hole,0.168643361454049,0.16864335965882277,1.7952262454379309e-09,True
P1,M0,reverse,-0.4,Anode,total,0.0463905887702847,0.04638447052976177,6.118240522927365e-06,True
P1,M0,reverse,-0.4,Anode,electron,0.28980451034231036,0.2898045104822733,1.3996293013462946e-10,True
P1,M0,reverse,-0.4,Anode,hole,0.009653061271316422,0.009651590532834894,1.4707384815276087e-06,True
P1,M0,reverse,-0.4,Cathode,total,0.046390588770281925,0.04638447053283636,6.118237445562613e-06,True
P1,M0,reverse,-0.4,Cathode,electron,0.04003818673644906,0.040032630675717946,5.556060731111423e-06,True
P1,M0,reverse,-0.4,Cathode,hole,0.1686432943116801,0.168643293762096,5.495841004510282e-10,True
P1,M0,reverse,-0.5,Anode,total,0.04045155541759881,0.04044659184433142,4.96357326738861e-06,True
