id,mesh,branch,bias_V,contact,component,reference_A_per_um,candidate_A_per_um,absolute_error_A_per_um,relative_error,log_error_dex,pass
P0,original,forward,0.46,Cathode,total,-3.31991442211866e-11,-3.318090251929473e-11,1.8241701891871823e-14,0.0005494630153819016,0.00023869433845277429,True
P0,original,forward,0.46,Cathode,electron,-2.30779412983536e-11,-2.3065259002856223e-11,1.2682295497377255e-14,0.0005495418908220388,0.00023872861245480178,True
P0,original,forward,0.46,Cathode,hole,-1.0121202922833e-11,-1.0115643516438502e-11,5.559406394497799e-15,0.000549283166920408,0.00023861618832475917,True
P0,original,forward,0.48,Anode,total,7.18418329723375e-11,7.180228678751001e-11,3.954618482748848e-14,0.0005504618018684968,0.00023912834459953396,True
P0,original,forward,0.48,Anode,electron,4.99112678266673e-11,4.9883782247723267e-11,2.7485578944034912e-14,0.0005506888552598443,0.0002392270069555849,True
P0,original,forward,0.48,Anode,hole,2.19305651456702e-11,2.1918504539786738e-11,1.2060605883463263e-14,0.0005499450562880006,0.00023890380130090952,True
P0,original,forward,0.48,Cathode,total,-7.18418329723376e-11,-7.180228568902508e-11,3.954728331252398e-14,0.0005504770921943416,0.0002391349887611043,True
P0,original,forward,0.48,Cathode,electron,-4.99373302123431e-11,-4.9909833749299076e-11,2.7496463044023937e-14,0.0005506194049041811,0.00023919682843141416,True
P0,original,forward,0.48,Cathode,hole,-2.19045027599944e-11,-2.189245193972601e-11,1.2050820268390183e-14,0.0005501526512804194,0.00023899400827883242,True
P0,original,forward,0.5,Anode,total,1.55459320111549e-10,1.553735819936608e-10,8.573811788818314e-14,0.0005515148131785358,0.00023958591371609793,True
P0,original,forward,0.5,Anode,electron,1.08012371786822e-10,1.0795277121862141e-10,5.960056820058566e-14,0.000551793903000445,0.00023970718778708276,True
P0,original,forward,0.5,Anode,hole,4.7446948324727e-11,4.742081077503943e-11,2.6137549687571628e-14,0.0005508794687634321,0.00023930983496870498,True
P0,original,forward,0.5,Cathode,total,-1.5545932011155e-10,-1.553735796178242e-10,8.574049372579939e-14,0.0005515300958750894,0.00023959255456945913,True
P0,original,forward,0.5,Cathode,electron,-1.08056020620892e-10,-1.079964003601929e-10,5.962026069909962e-14,0.0005517532512905847,0.00023968952322696128,True
P0,original,forward,0.5,Cathode,hole,-4.74032994906573e-11,-4.7377179257631304e-11,2.6120233025995374e-14,0.0005510214121517723,0.00023937151418120884,True
P0,original,forward,0.52,Anode,total,3.36383985524327e-10,3.3619808240394585e-10,1.8590312038114062e-13,0.0005526515184466065,0.0002400798512361889,True
P0,original,forward,0.52,Anode,electron,2.33731401427888e-10,2.336021436215388e-10,1.2925780634921396e-13,0.0005530185741392271,0.00024023934967437065,True
P0,original,forward,0.52,Anode,hole,1.02652584096439e-10,1.0259593878240704e-10,5.664531403196544e-14,0.0005518157631448311,0.00023971668676873648,True
P0,original,forward,0.52,Cathode,total,-3.36383985524327e-10,-3.361980772668526e-10,1.85908257474407e-13,0.0005526667899621586,0.00024008648723854682,True
P0,original,forward,0.52,Cathode,electron,-2.33806382878609e-10,-2.336770883929608e-10,1.292944856481776e-13,0.0005529981006348598,0.00024023045322455304,True
P0,original,forward,0.52,Cathode,hole,-1.02577602645718e-10,-1.0252098887389177e-10,5.661377182622942e-14,0.0005519116294983201,0.00023975834398617734,True
P0,original,forward,0.54,Anode,total,7.27816041845673e-10,7.274128825676504e-10,4.031592780226299e-13,0.0005539301895575918,0.0002406354784673278,True
P0,original,forward,0.54,Anode,electron,5.05732642770629e-10,5.054522485413085e-10,2.8039422932050186e-13,0.000554431740423907,0.00024085342002000832,True
P0,original,forward,0.54,Anode,hole,2.22083399075044e-10,2.2196063402634192e-10,1.2276504870207633e-13,0.000552788048153896,0.00024013917812583832,True
P0,original,forward,0.54,Cathode,total,-7.27816041845671e-10,-7.274128714651211e-10,4.03170380549896e-13,0.0005539454441365362,0.00024064210711864295,True
P0,original,forward,0.54,Cathode,electron,-5.0586505449739e-10,-5.055845900565485e-10,2.8046444084144287e-13,0.0005544254111802655,0.00024085066973956738,True
P0,original,forward,0.54,Cathode,hole,-2.21950987348281e-10,-2.2182828140857248e-10,1.227059397085307e-13,0.0005528515154383298,0.00024016675686331843,True
P0,original,forward,0.56,Anode,total,1.5745592850072e-09,1.57368473303547e-09,8.74551971729975e-13,0.0005554265120769815,0.00024128568373540815,True
P0,original,forward,0.56,Anode,electron,1.09413461064746e-09,1.09352613460834e-09,6.084760391199924e-13,0.0005561253918838409,0.00024158937216178932,True
P0,original,forward,0.56,Anode,hole,4.80424674359741e-10,4.801585984271299e-10,2.6607593261111993e-13,0.000553834860721335,0.00024059405473588882,True
P0,original,forward,0.56,Cathode,total,-1.5745592850072e-09,-1.5736847090592537e-09,8.745759479463232e-13,0.0005554417393323644,0.00024129230052361746,True
P0,original,forward,0.56,Cathode,electron,-1.09437521432436e-09,-1.0937666005683384e-09,6.086137560216821e-13,0.0005561289656924705,0.0002415909251107732,True
P0,original,forward,0.56,Cathode,hole,-4.80184070682838e-10,-4.799181084909154e-10,2.659621919226765e-13,0.0005538754993360551,0.0002406117136424802,True
P0,original,forward,0.58,Anode,total,3.40579752342271e-09,3.403899689081211e-09,1.897834341499026e-12,0.0005572363971865736,0.0002420721443841661,True
P0,original,forward,0.58,Anode,electron,2.36667814312121e-09,2.3653570175009614e-09,1.3211256202486628e-12,0.0005582193861419376,0.00024249928929392236,True
P0,original,forward,0.58,Anode,hole,1.03911938030149e-09,1.0385426715802497e-09,5.767087212402302e-13,0.0005549975606006925,0.00024109928898767067,True
P0,original,forward,0.58,Cathode,total,-3.40579752342271e-09,-3.4038996373816444e-09,1.8978860410656875e-12,0.0005572515770574573,0.00024207874059403912,True
P0,original,forward,0.58,Cathode,electron,-2.36712774790308e-09,-2.3658063465232335e-09,1.321401379846639e-12,0.0005582298551555582,0.000242503838468197,True
P0,original,forward,0.58,Cathode,hole,-1.03866977551964e-09,-1.038093290858411e-09,5.764846612289746e-13,0.0005550220819129573,0.00024110994437209247,True
